"Dam_Founder","Sire_Founder","PupGeno","WeanDate","YearMonth","litterorder","litternum","First_Litter","Males","Females","Weaned","Male_Prop"
"B6","B6","B6xB6","2/2/10","YearMonth_2010-02","order04",3,0,8,3,11,0.727272727
"B6","B6","B6xB6","3/29/10","YearMonth_2010-03","order05",4,0,2,2,4,0.5
"B6","B6","B6xB6","5/27/10","YearMonth_2010-05","order06",5,0,0,2,2,0
"B6","B6","B6xB6","9/16/09","YearMonth_2009-09","order01",0,0,1,2,3,0.333333333
"B6","B6","B6xB6","11/9/09","YearMonth_2009-11","order02",1,0,1,3,4,0.25
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,3,4,7,0.428571429
"B6","B6","B6xB6","10/28/09","YearMonth_2009-10","order02",1,0,1,0,1,1
"B6","B6","B6xB6","11/18/09","YearMonth_2009-11","order03",2,0,3,6,9,0.333333333
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,5,3,8,0.625
"B6","B6","B6xB6","10/7/09","YearMonth_2009-10","order02",1,0,3,7,10,0.3
"B6","B6","B6xB6","12/7/09","YearMonth_2009-12","order03",2,0,2,1,3,0.666666667
"B6","B6","B6xB6","9/16/09","YearMonth_2009-09","order01",0,0,5,3,8,0.625
"B6","B6","B6xB6","10/26/09","YearMonth_2009-10","order02",1,0,3,3,6,0.5
"B6","B6","B6xB6","11/18/09","YearMonth_2009-11","order03",2,0,3,2,5,0.6
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,1,3,4,0.25
"B6","B6","B6xB6","9/30/09","YearMonth_2009-09","order02",1,0,5,4,9,0.555555556
"B6","B6","B6xB6","9/16/09","YearMonth_2009-09","order01",0,0,2,2,4,0.5
"B6","B6","B6xB6","11/4/09","YearMonth_2009-11","order02",1,0,2,4,6,0.333333333
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,2,5,7,0.285714286
"B6","B6","B6xB6","9/23/09","YearMonth_2009-09","order02",1,0,0,8,8,0
"B6","B6","B6xB6","10/26/09","YearMonth_2009-10","order03",2,0,8,3,11,0.727272727
"B6","B6","B6xB6","11/23/09","YearMonth_2009-11","order04",3,0,2,4,6,0.333333333
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,4,2,6,0.666666667
"B6","B6","B6xB6","9/23/09","YearMonth_2009-09","order02",1,0,3,2,5,0.6
"B6","B6","B6xB6","11/2/09","YearMonth_2009-11","order03",2,0,1,0,1,1
"B6","B6","B6xB6","11/23/09","YearMonth_2009-11","order04",3,0,1,4,5,0.2
"B6","B6","B6xB6","12/7/09","YearMonth_2009-12","order05",4,0,2,1,3,0.666666667
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,3,2,5,0.6
"B6","B6","B6xB6","10/26/09","YearMonth_2009-10","order02",1,0,4,2,6,0.666666667
"B6","B6","B6xB6","12/7/09","YearMonth_2009-12","order03",2,0,3,1,4,0.75
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,2,3,5,0.4
"B6","B6","B6xB6","9/23/09","YearMonth_2009-09","order02",1,0,4,4,8,0.5
"B6","B6","B6xB6","12/2/09","YearMonth_2009-12","order03",2,0,5,3,8,0.625
"B6","B6","B6xB6","9/2/09","YearMonth_2009-09","order01",0,1,1,4,5,0.2
"B6","B6","B6xB6","9/23/09","YearMonth_2009-09","order02",1,0,3,1,4,0.75
"B6","B6","B6xB6","10/26/09","YearMonth_2009-10","order03",2,0,4,6,10,0.4
"B6","B6","B6xB6","1/9/10","YearMonth_2010-01","order04",3,0,6,3,9,0.666666667
"B6","B6","B6xB6","1/25/10","YearMonth_2010-01","order05",4,0,4,5,9,0.444444444
"B6","B6","B6xB6","2/22/10","YearMonth_2010-02","order06",5,0,5,1,6,0.833333333
"B6","B6","B6xB6","4/7/10","YearMonth_2010-04","order07",6,0,4,1,5,0.8
"B6","B6","B6xB6","9/2/09","YearMonth_2009-09","order01",0,1,1,6,7,0.142857143
"B6","B6","B6xB6","10/14/09","YearMonth_2009-10","order02",1,0,0,4,4,0
"B6","B6","B6xB6","11/4/09","YearMonth_2009-11","order03",2,0,5,1,6,0.833333333
"B6","B6","B6xB6","9/9/09","YearMonth_2009-09","order01",0,1,2,6,8,0.25
"B6","B6","B6xB6","10/26/09","YearMonth_2009-10","order02",1,0,5,2,7,0.714285714
"B6","B6","B6xB6","12/9/09","YearMonth_2009-12","order03",2,0,6,4,10,0.6
"B6","B6","B6xB6","1/19/10","YearMonth_2010-01","order04",3,0,3,4,7,0.428571429
"B6","B6","B6xB6","9/9/09","YearMonth_2009-09","order01",0,1,2,1,3,0.666666667
